#FORMAT=WebAnno TSV 3.1
#T_SP=webanno.custom.Segmentstructural|Category
#T_SP=webanno.custom.EXT|SEG


#Text=An electrical system adapted to keep pigeons or other birds away from buildings comprising a static electrical pulse generator ( 1 ) producing high voltage pulses of short duration and low electrical power whereby said voltage , applied to protective lines ( 7 ) adapted to be fastened to portions of the buildings to be protected , keeps the pigeons away when the latter try to perch with their legs on said protective lines ( 7 ) located a short distance from each other , characterized in that at the outlet from the electrical pulse generator ( 1 ) there is provided a pair of electrical circuits ( 3 , 5 , 2 ; 4 , 5 , 2 ) adapted to be alternatively connected to said protective lines ( 7 ) and said electrical circuit have a voltage different from each other in order to enable the most appropriate voltage to be used , according to the length and configuration of the protective lines ( 7 ) .
1-1	0-2	An	INVENTION[1]	INVENTION[1]	
1-2	3-13	electrical	INVENTION[1]	INVENTION[1]	
1-3	14-20	system	INVENTION[1]	INVENTION[1]	
1-4	21-28	adapted	INVENTION[1]	FUNCTION[2]	
1-5	29-31	to	INVENTION[1]	FUNCTION[2]	
1-6	32-36	keep	INVENTION[1]	FUNCTION[2]	
1-7	37-44	pigeons	INVENTION[1]	FUNCTION[2]	
1-8	45-47	or	INVENTION[1]	FUNCTION[2]	
1-9	48-53	other	INVENTION[1]	FUNCTION[2]	
1-10	54-59	birds	INVENTION[1]	FUNCTION[2]	
1-11	60-64	away	INVENTION[1]	FUNCTION[2]	
1-12	65-69	from	INVENTION[1]	FUNCTION[2]	
1-13	70-79	buildings	INVENTION[1]	FUNCTION[2]	
1-14	80-90	comprising	REQT\[1\][2]	COMPOSITION[3]|DETAIL\_START[4]	
1-15	91-92	a	REQT\[1\][2]	COMPOSITION[3]|INVENTION\_OBJ[5]	
1-16	93-99	static	REQT\[1\][2]	COMPOSITION[3]|INVENTION\_OBJ[5]	
1-17	100-110	electrical	REQT\[1\][2]	COMPOSITION[3]|INVENTION\_OBJ[5]	
1-18	111-116	pulse	REQT\[1\][2]	COMPOSITION[3]|INVENTION\_OBJ[5]	
1-19	117-126	generator	REQT\[1\][2]	COMPOSITION[3]|INVENTION\_OBJ[5]	
1-20	127-128	(	REQT\[1\][2]|FIGURE\_REF[3]	COMPOSITION[3]|INVENTION\_OBJ[5]|FIGURE\_REF[6]	
1-21	129-130	1	REQT\[1\][2]|FIGURE\_REF[3]	COMPOSITION[3]|INVENTION\_OBJ[5]|FIGURE\_REF[6]	
1-22	131-132	)	REQT\[1\][2]|FIGURE\_REF[3]	COMPOSITION[3]|INVENTION\_OBJ[5]|FIGURE\_REF[6]	
1-23	133-142	producing	REQT\[1\][2]	COMPOSITION[3]|INVENTION\_OBJ[5]|OBJ\_FUNCTION[7]	
1-24	143-147	high	REQT\[1\][2]	COMPOSITION[3]|INVENTION\_OBJ[5]|OBJ\_FUNCTION[7]	
1-25	148-155	voltage	REQT\[1\][2]	COMPOSITION[3]|INVENTION\_OBJ[5]|OBJ\_FUNCTION[7]	
1-26	156-162	pulses	REQT\[1\][2]	COMPOSITION[3]|INVENTION\_OBJ[5]|OBJ\_FUNCTION[7]	
1-27	163-165	of	REQT\[1\][2]	COMPOSITION[3]|INVENTION\_OBJ[5]|OBJ\_FUNCTION[7]	
1-28	166-171	short	REQT\[1\][2]	COMPOSITION[3]|INVENTION\_OBJ[5]|OBJ\_FUNCTION[7]	
1-29	172-180	duration	REQT\[1\][2]	COMPOSITION[3]|INVENTION\_OBJ[5]|OBJ\_FUNCTION[7]	
1-30	181-184	and	REQT\[1\][2]	COMPOSITION[3]|INVENTION\_OBJ[5]|OBJ\_FUNCTION[7]	
1-31	185-188	low	REQT\[1\][2]	COMPOSITION[3]|INVENTION\_OBJ[5]|OBJ\_FUNCTION[7]	
1-32	189-199	electrical	REQT\[1\][2]	COMPOSITION[3]|INVENTION\_OBJ[5]|OBJ\_FUNCTION[7]	
1-33	200-205	power	REQT\[1\][2]	COMPOSITION[3]|INVENTION\_OBJ[5]|OBJ\_FUNCTION[7]	
1-34	206-213	whereby	REQT\[2\][4]	COMPOSITION[3]|INVENTION\_OBJ[5]|OBJ\_FUNCTION[7]	
1-35	214-218	said	REQT\[2\][4]	COMPOSITION[3]|INVENTION\_OBJ[5]|OBJ\_FUNCTION[7]	
1-36	219-226	voltage	REQT\[2\][4]	COMPOSITION[3]|INVENTION\_OBJ[5]|OBJ\_FUNCTION[7]	
1-37	227-228	,	REQT\[2\][4]	COMPOSITION[3]|INVENTION\_OBJ[5]	
1-38	229-236	applied	REQT\[2\][4]	COMPOSITION[3]|INVENTION\_OBJ[5]|OBJ\_FUNCTION[8]	
1-39	237-239	to	REQT\[2\][4]	COMPOSITION[3]|INVENTION\_OBJ[5]|OBJ\_FUNCTION[8]	
1-40	240-250	protective	REQT\[2\][4]	COMPOSITION[3]|INVENTION\_OBJ[5]|OBJ\_FUNCTION[8]|CLAIM\_OBJ[9]	
1-41	251-256	lines	REQT\[2\][4]	COMPOSITION[3]|INVENTION\_OBJ[5]|OBJ\_FUNCTION[8]|CLAIM\_OBJ[9]	
1-42	257-258	(	REQT\[2\][4]|FIGURE\_REF[5]	COMPOSITION[3]|INVENTION\_OBJ[5]|OBJ\_FUNCTION[8]|CLAIM\_OBJ[9]|FIGURE\_REF[10]	
1-43	259-260	7	REQT\[2\][4]|FIGURE\_REF[5]	COMPOSITION[3]|INVENTION\_OBJ[5]|OBJ\_FUNCTION[8]|CLAIM\_OBJ[9]|FIGURE\_REF[10]	
1-44	261-262	)	REQT\[2\][4]|FIGURE\_REF[5]	COMPOSITION[3]|INVENTION\_OBJ[5]|OBJ\_FUNCTION[8]|CLAIM\_OBJ[9]|FIGURE\_REF[10]	
1-45	263-270	adapted	REQT\[2\][4]	COMPOSITION[3]|INVENTION\_OBJ[5]|OBJ\_FUNCTION[8]|CLAIM\_OBJ[9]|OBJ\_FUNCTION[11]	
1-46	271-273	to	REQT\[2\][4]	COMPOSITION[3]|INVENTION\_OBJ[5]|OBJ\_FUNCTION[8]|CLAIM\_OBJ[9]|OBJ\_FUNCTION[11]	
1-47	274-276	be	REQT\[2\][4]	COMPOSITION[3]|INVENTION\_OBJ[5]|OBJ\_FUNCTION[8]|CLAIM\_OBJ[9]|OBJ\_FUNCTION[11]	
1-48	277-285	fastened	REQT\[2\][4]	COMPOSITION[3]|INVENTION\_OBJ[5]|OBJ\_FUNCTION[8]|CLAIM\_OBJ[9]|OBJ\_FUNCTION[11]	
1-49	286-288	to	REQT\[2\][4]	COMPOSITION[3]|INVENTION\_OBJ[5]|OBJ\_FUNCTION[8]|CLAIM\_OBJ[9]|OBJ\_FUNCTION[11]	
1-50	289-297	portions	REQT\[2\][4]	COMPOSITION[3]|INVENTION\_OBJ[5]|OBJ\_FUNCTION[8]|CLAIM\_OBJ[9]|OBJ\_FUNCTION[11]	
1-51	298-300	of	REQT\[2\][4]	COMPOSITION[3]|INVENTION\_OBJ[5]|OBJ\_FUNCTION[8]|CLAIM\_OBJ[9]|OBJ\_FUNCTION[11]	
